Domain	Source Sentence	Reference Translation	Google Translate	Yandex Translate
news	በጂግጅጋ ከተማ ህዝባዊ ጉባኤ ዛሬ ይካሄዳል	The people’s symposium will be held in Jijiga city today.	A public meeting will be held in the city of Giggiga today	Today rejigged the public conference area
news	ስለፌዴራላዊ ሥርዓቱ ልዕልና!	For the sovereignty of federalism!	About the sovereignty of the federal system!	The Confederate system of Leela!
news	ህዝቡ “የሥልጣን ሊዝ አዋጅ” ሊያወጣ ነው! ሥልጣን በሊዝ ሊሆን ነው - እንደ መሬት	The people are going to make "Authority for rent" Authority is going to be for rent - just like for land!	The people are about to issue a &quot;power lease proclamation&quot;! Authority is about to be leased - like land	The “PS proclamation authority” of the young! PS it may be in authority - as in the
news	በሰማያዊ ፓርቲ ምልክት መወዳደር አለብኝ የሚለው ፓርቲ ከምርጫ ቦርድ ጋር ተወዛገበ	The party that uses the same banner as the Semayawi party is in conflict with the election board.	The party that I had to contest with the blue party logo was contested with the Electoral Board	The Heavenly Signs part I election to board " and " the Mudder that
news	የኦሮሞና የአማራ ሕዝቦችን ያገናኘው መድረክ ለምን አስፈለገ?	Why is a platform to congregate  the Oromo and Amhara people needed?	Why the Oromo and Amhara Peoples Forum?	The Oromo people by the Amhara agencies unwanted forum?
news	በኢትዮጵያ የመጀመሪያው የሰላም ሽልማት ለዶ/ር አቢይ አህመድ ተሰጠ	The first peace prize to be awarded to an Ethiopian has been awarded to Dr. Abiy Ahmed.	The first Peace Prize in Ethiopia was given to Dr. Abby Ahmed	The peace in the first do/given ten of Paris
news	የልማት ግቡ ያልደረሰባቸው የህብረተሰብ ክፍሎች	The parts of society where the development goal couldn't address.	Segments of society that have not reached its goal of development	The development units have been made to the tax
news	ለሰልፍ አደባባይ በወጡ ሰላማዊ ዜጎች ላይ የተፈጸመውን ጥቃት እናወግዛለን….ከፍተኛ ሴት አመራሮች	We condemn the violence against the peaceful protestors …..Higher women leadership.	We denounce the violence against civilians who went out to the streets ... Senior female leaders	The peaceful citizens in a public attack anagran it was fulfilled....The top women leadership
news	የኢትዮጵያ ዜና አገልግሎት (ኢዜአ) እንደገና ሊቋቋም ነው	The Ethiopian news broadcasting agency (ena) is to be re-established.	The Ethiopian News Service (EIA) is about to be reestablished	The news services (to) of lielam again
news	ማሸነፍም መሸነፍም እንደ አሜሪካ ምርጫ!	Win or lose like the American election!	Winning or winning is like the American election!	Machineries machineries selection to the United States!
news	ተቃዋሚ የፖለቲካ ፓርቲዎች በኢህአዴግ ዳግም ተሀድሶ ዙሪያ ምን አሉ?	What do opposition political parties have to say about the EPRDF reform?	What do opposition political parties have to say about the EPRDF reform?	The opposition political parties for what those in the world?
news	ለህዝቦች ደህንነትና ዘላቂ ሰላም መረጋገጥ የህግ የበላይነትን ማስከበር ይገባል— የወላይታ ዞን ምክር ቤት አባላት	To ensure sustainable peace and security of people, the rule of law should be enforced - members of the Wolaita Zone Council	The rule of law must ensure law and order for the welfare of the people - members of the Wolayita Zone Council	To ensure that peace and security of nations and the supremacy of the president in— council members of the wolayita zone
news	እግሪ ሃሪባ ከመቀለ ከተማ በቅርበት የምትገኝ የገጠር መንደር ናት። በ2003 ዓ.ም ይህችን መንደር በመቀሌ ከተማ አስተዳደር ስር መግባት አለባት የሚል ውሳኔ ተላለፈ። የመንደሯ ነዋሪዎች ተቃወሙ። ተቃውሞው ተካሮ በርካቶች ታሰሩ፣ መንደሯም 'አልባኒያ' የሚል ተቀጥላ አገኘች።	Egri hariba is a village located near mekelle. In 2003, it was decided that this village should be  run under the Mekelle city administration. The villagers protested against the decision made by the council.The protest was over and several were arrested, as a result the village got a byname of “Albaniya”.	Hagrid Harba is a rural village located near the town of Mekele. In 2003, it was decided that the village should be under Mekele city administration. The villagers protested. The protest was intensified and many were arrested, and her village was found to be &#39;Albania.&#39;	City are in the camera area at the itemtoedit is. In 2003.What this camera must be under the management of the village outside of the city in the decision tollerate. The team used. Arrested protest there Prices, money 'Albania' when she was in the " A " together.
news	የሕወሓት ማዕከላዊ ኮሚቴ ራሱን ያየበት መነጽር	The way the TPLF central committee saw itself.	The glasses of the Central Committee of the Confederate	Theweather himself in the Central Committee to achieve those goals
news	«በህገ ወጦች ስለታጠርን ፍትሐዊ የንግድ ውድድር ማካሄድ አልቻልንም»- የሳሪስ አካባቢ ነጋዴዎች	We are unable to conduct fair trade competition because we are bound by illegal merchants.	“We cannot conduct fair trade competition because we are bound by the law” - Saris area traders	"The prime minister said on his part Ethiopia is in the alarm business contatore"- says local merchant tools
news	ዳሰሳ ዓርብ ጠዋት ጥር 22 2007 ዓ.ም::	Dasesa Friday morning January 22, 2007:	Navigation Friday morning January 22, 2007	Friday morning January 22 the 2007 survey.What::
news	መንግሥት ከኢሠማ አመራሮች ጋር የሚነጋገርበት የውይይት መድረክ ሊዘጋጅ ነው	The government is about to set up a forum with the leaders of the ISEMA	The government is about to set up a dialogue forum with the leaders of the IS	Key to the presidency of the forum of litigation gamingharbor
news	ቱርክ ሶሪያ ላይ ጥቃት እንድትፈፅም ይኹንታዋን እንዳልሰጠች አሜሪካ ገለፀች	The United States has said that Turkey has not declared an attack on Syria.	The United States has said that Turkey has not surrendered it to Syria	Turkey attack Syria for the United States thongtapan andalites Anton glass
news	የሶማሊያ ሪፐብሊክ ፕሬዝዳንት መሐመድ አብዱላሂ አዲስ አበባ ገቡ	President of the Republic of Somalia Mohamed Abdullahi arrived in Addis Ababa	President of the Republic of Somalia Mohamed Abdullahi arrives in Addis Ababa	The Republic of the the president as he signed in Addis Ababa
news	የጀርመኗ መራሒተ መንግሥት አንገላ መርከል መንግሥት ለተቃዋሚዎችና ለሲቪክ ማኅበራት ሰፊ የፖለቲካ ዕድል እንዲሰጥ ጠየቁ	The German leader Angela Markel asked the government to give a broad opportunity for opposition parties and civil associations..	German opposition leader Angela Merkel demanded political victory for opposition and civil society	TheGerman meat and angle of the marker of the country with the tools to provide an opportunity for the broad political demands of
news	ኢትዮጵያ ግብፅና ሱዳን በዓባይ ጉዳይ ረቂቅ ፖለቲካዊ መግባባት ላይ ደረሱ	Ethiopia and Egypt have reached on a drafted political agreement concerning issues related with the Nile river.	Egypt, Sudan and Egypt reach an abstract political agreement on the Nile	Egypt Sudan Ethiopia on his part said the draft of the political can communicate it once they arrived
news	በኢትዮጵያ ፌዴራሊዝም ዙሪያ በሀረር የተካሄደ ውይይት መስከረም 22፣ 2009 ዓ/ም	A meeting on Ethiopian Federalism held at Harar on September 22, 2009 E.C.	HARGEISA - A Discussion on Ethiopian Federalism: September 22, 2009	Ethiopia Addis Ababa discussion around it there refederalisation of the September 22, 2009 in/what
news	አመራሩ ለውጡን በመከተል የህዝቡን ጥያቄዎች ለመመለስ ራሱን ሊያዘጋጅ ይገባል- የአርባምንጭ ሰራተኞች	Workers from Arbaminch suggested that the government should follow the changes and get prepared to answer questions from the people.	The leadership must prepare itself to respond to the people’s questions by following the change - Fortune employees	The change project will support people to follow himself in the litigation understand that to return to questions - staff farther
news	የፀረ ሙስና ትግሉ ማነቃቂያ የ25 በመቶ ሽልማት	25% award on awakening of fight against corruption	25 percent reward for anti-corruption struggle	Some political parties are not at the 25 percent of the mangaka
news	በጠቅላይ ሚኒስትር ኃይለ ማርያም የሚመራ ልዑክ በሳዑዲ ዓረቢያ የሥራ ጉብኝት አደረገ	A team led by Prime Minister Hailemariam had a work related visit in Saudi Arabia.	A delegation led by Prime Minister Hailemariam held a working visit to Saudi Arabia	The Prime Minister guided Mary through the power of the work he did for the interview link
news	የጌዴኦና ምዕራብ ጉጂ ዞን አጎራባች ወረዳ ነዋሪዎች የሰላም ጉባኤ አካሄዱ	People living in Gedeo and neighboring districts of Western Goji held a meeting about peace.	Residents of Gedeo and West Goji Zone held a peace conference	Western geo guy peace conference agrees the residents of the community.
news	ሞጋች ቀጥታ የውይይት መድረክ እሁድ ህዳር 04 2009 ዓ.ም::	The live debate stage Mogach will be held on November 03, 2009 E.C.	Mogat Live Chat	The moment on Sunday 04 November 2009 in discussion forum.What::
news	የጠቅላይ ሚኒስትሩ የጋናና ጊኒ ቆይታ ሲዳሰስ	Covering the prime minister's stay at Ghana and Guinea	Prime Minister&#39;s visit to Ghana and Guinea	Ghana Guinea to the season of the Supreme
news	በፍትሕ ሥርዓቱ ውስጥ ያሉ ትንንሽ አምባገነኖች ሕዝቡን ወደ መጨረሻው የአመፅ አማራጭ እየገፉት መሆኑ ተገለጸ	It was reported that the low level dictators situated within the justice system, are encouraging the people towards their last option of revolting.	Tiny dictatorships are pushing the people to the last violent alternative	In the system, such as during his people a daily reminder that I end and it's a small option that the eight foot ተገለጸ
news	መንግስት የአልጀርስ ስምምነትን ከመተግበሩ በፊት ህዝቡን ያወያይ- መኢአድ	The government should hold a meeting with the people before implementing the Algiers agreement - AEUP	The government discusses the people before implementing the Algiers Agreement: AIM	The government is alert the people Center for Area Agreement - lead
news	ኢትዮጵያዊው ተመራማሪ ዶ/ር መለሰ ተመስገን አህጉራዊ ሽልማት ተቀበሉ	Ethiopian researcher Dr. Melese Temesgen has received continental award.	Ethiopian researcher Dr. Meles Zenawi received the continental award	Temerarios on icon/ten Alegre received the award to those at regional economic
